week,lists,chal,chal_field,chal_share,top8,top8_field,top8_share,top16,trophies,league_field,trophy_share
2026-05-18,43,13,352,0.036931818181818184,2,88,0.022727272727272728,4,30,482,0.06224066390041494
2026-05-25,53,27,352,0.07670454545454546,11,88,0.125,15,26,479,0.054279749478079335
2026-06-01,69,29,384,0.07552083333333333,9,96,0.09375,19,40,511,0.07827788649706457
2026-06-08,55,24,384,0.0625,7,96,0.07291666666666667,16,31,484,0.0640495867768595
2026-06-15,47,18,352,0.05113636363636364,8,88,0.09090909090909091,12,29,462,0.06277056277056277
2026-06-22,41,14,384,0.036458333333333336,3,96,0.03125,9,27,393,0.06870229007633588
2026-06-29,38,18,352,0.05113636363636364,3,88,0.03409090909090909,8,20,428,0.04672897196261682
2026-07-06,58,31,416,0.07451923076923077,8,104,0.07692307692307693,17,27,418,0.0645933014354067
2026-07-13,67,37,448,0.08258928571428571,9,112,0.08035714285714286,20,30,410,0.07317073170731707
2026-07-20,62,39,512,0.076171875,11,128,0.0859375,18,23,393,0.058524173027989825
2026-07-27,57,30,384,0.078125,7,96,0.07291666666666667,18,27,439,0.06150341685649203
2026-08-03,47,29,352,0.08238636363636363,5,88,0.056818181818181816,14,18,380,0.04736842105263158
2026-08-10,54,23,416,0.055288461538461536,8,104,0.07692307692307693,18,31,404,0.07673267326732673
2026-08-17,54,27,384,0.0703125,2,96,0.020833333333333332,9,27,340,0.07941176470588235
2026-08-24,83,47,480,0.09791666666666667,13,120,0.10833333333333334,24,36,348,0.10344827586206896
2026-08-31,88,47,448,0.10491071428571429,13,112,0.11607142857142858,25,41,378,0.10846560846560846
